customer_id,vendor_id,like
OH64IO0,310,1
FCPLE31,157,1
3P9113W,85,1
WB681BO,90,1
AA31G37,85,1
E4ZWBIY,83,1
8BZR1IV,33,1
8PKVPJV,195,1
BNKRJ0E,193,1
A9EZUO7,113,1
CV7TAV2,75,1
FWNWSYH,81,1
10A2LDQ,148,1
QSBN2T0,113,1
FHMEG6N,4,1
RHL9F51,134,1
38BQZUQ,33,1
5SQI87U,78,1
70J4PVC,189,1
YG96QWA,104,1
5JWHW2V,271,1
V2I5HW0,76,1
OF8VT8O,105,1
JLYBI0A,115,1
C8KPBUO,83,1
OLE8QJE,161,1
CPB3TM5,113,1
X9V34VJ,85,1
10CO0AT,83,1
30PZXDS,78,1
30PZXDS,115,1
30PZXDS,189,1
OT39PO0,78,1
2W8Z5TQ,92,1
3I719TA,85,1
K9VYYXJ,113,1
OT39PO0,106,1
X60UUSP,154,1
AAEVP77,243,1
YER7JDP,92,1
6S9427H,243,1
EBVHPAO,193,1
ZS2F3LM,13,1
3FCZQZY,113,1
FAQZF6C,83,1
OF5YOLD,195,1
JX1C09T,197,1
FKG1F3U,104,1
GE2IW1I,83,1
1P5RQ9H,115,1
A6T7G8G,113,1
2C5H0CU,83,1
QXFBICK,105,1
3A25O70,161,1
GDU8FTL,196,1
IL9MJSW,33,1
KNMXMFU,113,1
UMF1ECE,85,1
LYGHJP2,113,1
VH7ZH3N,92,1
NOWRO3C,159,1
VXJJYH2,4,1
LOM5R7S,106,1
OO9OUKM,104,1
X8S6EVW,28,1
QJ3AIJF,85,1
33FCRSH,161,1
UBVHCFC,157,1
Q4R8E0I,104,1
RAF91SA,195,1
OV2034N,161,1
8RCJPZ0,83,1
JG05GUB,85,1
6ZATWUE,243,1
T3WEFNC,195,1
IRPSTIF,90,1
6ZATWUE,83,1
PE9URTA,83,1
42NEJ1M,105,1
SFT5XCK,310,1
Z81ASO5,196,1
5P8RJLP,78,1
75KAUNJ,196,1
J1PGG81,145,1
RQ4GJNJ,78,1
2QBB6A9,106,1
OO9OUKM,55,1
R4IPD73,289,1
9OEB2OM,85,1
UD44KRK,192,1
GGIDLLS,113,1
KF99S3C,300,1
FZXHMXG,193,1
JWE4IOX,78,1
EBKRYGZ,4,1
2W8Z5TQ,300,1
XFD5OXC,85,1
